yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2011,NL,MIL,MIL,C,1,162,81,96,66,Y,N,N,N,721,5447,1422,276,31,185,481,1083,94,31,56,44,638,582,3.64,1,13,47,4325,1348,147,440,1257,111,131,0.98,Milwaukee Brewers,Miller Park,3071373,103,102,MIL,ML4,MIL
2011,NL,SLN,STL,C,2,162,81,90,72,N,Y,Y,Y,762,5532,1513,308,22,162,542,978,57,39,44,40,692,608,3.79,7,9,47,4386,1461,136,448,1098,116,167,0.98,St. Louis Cardinals,Busch Stadium III,3093954,95,94,STL,SLN,SLN
2011,NL,CIN,CIN,C,3,162,81,79,83,N,N,N,N,735,5612,1438,264,19,183,535,1250,97,50,63,40,720,678,4.16,4,5,39,4403,1414,185,539,1112,91,145,0.99,Cincinnati Reds,Great American Ball Park,2213588,107,106,CIN,CIN,CIN
2011,NL,PIT,PIT,C,4,162,81,72,90,N,N,N,N,610,5421,1325,277,35,107,489,1308,108,52,34,44,712,650,4.05,5,11,43,4348,1513,152,535,1031,112,154,0.98,Pittsburgh Pirates,PNC Park,1940429,96,97,PIT,PIT,PIT
2011,NL,CHN,CHC,C,5,162,81,71,91,N,N,N,N,654,5549,1423,285,36,148,425,1202,69,23,59,35,756,690,4.34,4,5,40,4303,1439,162,580,1224,134,128,0.98,Chicago Cubs,Wrigley Field,3017966,96,97,CHC,CHN,CHN
2011,NL,HOU,HOU,C,6,162,81,56,106,N,N,N,N,615,5598,1442,309,28,95,401,1164,118,33,46,37,796,719,4.51,2,6,25,4305,1477,188,560,1191,116,139,0.98,Houston Astros,Minute Maid Park,2067016,102,104,HOU,HOU,HOU
2011,NL,PHI,PHI,E,1,162,81,102,60,Y,N,N,N,713,5579,1409,258,38,153,539,1024,96,24,56,38,529,495,3.02,18,21,47,4431,1320,120,404,1299,74,134,0.99,Philadelphia Phillies,Citizens Bank Park,3680718,105,103,PHI,PHI,PHI
2011,NL,ATL,ATL,E,2,162,81,89,73,N,N,N,N,641,5528,1345,244,16,173,504,1260,77,44,28,30,605,572,3.49,3,16,52,4439,1332,125,521,1332,83,131,0.99,Atlanta Braves,Turner Field,2372940,98,98,ATL,ATL,ATL
2011,NL,WAS,WSN,E,3,161,80,80,81,N,N,N,N,624,5441,1319,257,22,154,470,1323,106,38,65,32,643,577,3.58,3,10,49,4348,1403,129,477,1049,104,145,0.98,Washington Nationals,Nationals Park,1940478,100,100,WSN,MON,WAS
2011,NL,NYN,NYM,E,4,162,81,77,85,N,N,N,N,718,5600,1477,309,39,108,571,1085,130,35,51,48,742,674,4.19,6,9,43,4344,1482,147,514,1126,116,125,0.98,New York Mets,Citi Field,2352596,98,98,NYM,NYN,NYN
2011,NL,FLO,FLA,E,5,162,78,72,90,N,N,N,N,625,5508,1358,274,30,149,542,1244,95,41,51,42,702,640,3.95,7,11,40,4379,1403,149,500,1218,93,126,0.99,Florida Marlins,Sun Life Stadium,1477462,99,100,FLA,FLO,FLO
2011,NL,ARI,ARI,W,1,162,81,94,68,Y,N,N,N,731,5421,1357,293,37,172,531,1249,133,55,61,33,662,609,3.8,5,12,58,4330,1414,159,442,1058,90,130,0.99,Arizona Diamondbacks,Chase Field,2105432,107,106,ARI,ARI,ARI
2011,NL,SFN,SFG,W,2,162,81,86,76,N,N,N,N,570,5486,1327,282,24,121,448,1122,85,51,52,43,578,522,3.21,3,12,52,4404,1260,96,559,1316,104,127,0.98,San Francisco Giants,AT&T Park,3387303,89,89,SFG,SFN,SFN
2011,NL,LAN,LAD,W,3,161,81,82,79,N,N,N,N,644,5436,1395,237,28,117,498,1087,126,40,45,43,612,563,3.56,7,17,40,4296,1287,132,507,1265,85,121,0.99,Los Angeles Dodgers,Dodger Stadium,2935139,98,98,LAD,LAN,LAN
2011,NL,COL,COL,W,4,162,81,73,89,N,N,N,N,735,5544,1429,274,40,163,555,1201,118,42,57,44,774,713,4.44,5,7,41,4343,1471,176,522,1118,98,156,0.98,Colorado Rockies,Coors Field,2909777,116,116,COL,COL,COL
2011,NL,SDN,SDP,W,5,162,81,71,91,N,N,N,N,593,5417,1284,247,42,91,501,1320,170,44,48,47,611,551,3.43,0,10,44,4348,1324,125,521,1139,94,138,0.99,San Diego Padres,Petco Park,2143018,92,92,SDP,SDN,SDN
2012,AL,DET,DET,C,1,162,81,88,74,Y,N,Y,N,726,5476,1467,279,39,163,511,1103,59,23,57,39,670,596,3.77,9,3,40,4292,1409,151,438,1318,99,127,0.98,Detroit Tigers,Comerica Park,3028033,104,103,DET,DET,DET
2012,AL,CHA,CHW,C,2,162,81,85,77,N,N,N,N,748,5518,1409,228,29,211,461,1203,109,43,65,36,676,646,4.02,6,2,37,4337,1365,186,503,1246,70,154,0.99,Chicago White Sox,U.S. Cellular Field,1965955,106,106,CHW,CHA,CHA
2012,AL,KCA,KCR,C,3,162,81,72,90,N,N,N,N,676,5636,1492,295,37,131,404,1032,132,38,42,41,746,693,4.3,2,1,44,4354,1504,163,542,1177,113,169,0.98,Kansas City Royals,Kauffman Stadium,1739859,100,100,KCR,KCA,KCA
2012,AL,CLE,CLE,C,4,162,81,68,94,N,N,N,N,667,5525,1385,266,24,136,555,1087,110,44,59,39,845,766,4.79,2,1,43,4326,1503,174,543,1086,96,156,0.98,Cleveland Indians,Progressive Field,1603596,93,95,CLE,CLE,CLE
2012,AL,MIN,MIN,C,5,162,81,66,96,N,N,N,N,701,5562,1448,270,30,131,505,1069,135,37,53,56,832,762,4.77,3,1,35,4316,1536,198,465,943,107,187,0.98,Minnesota Twins,Target Field,2776354,97,99,MIN,MIN,MIN
2012,AL,NYA,NYY,E,1,162,81,95,67,Y,N,N,N,804,5524,1462,280,13,245,565,1176,93,27,62,49,668,618,3.86,6,2,51,4336,1401,190,431,1318,74,135,0.99,New York Yankees,Yankee Stadium III,3542406,103,102,NYY,NYA,NYA
2012,AL,BAL,BAL,E,2,162,81,93,69,N,Y,N,N,712,5560,1375,270,16,214,480,1315,58,29,50,30,705,642,3.9,1,1,55,4449,1433,184,481,1177,106,150,0.98,Baltimore Orioles,Oriole Park at Camden Yards,2102240,102,103,BAL,BAL,BAL
2012,AL,TBA,TBD,E,3,162,81,90,72,N,N,N,N,697,5398,1293,250,30,175,571,1323,134,44,58,42,577,518,3.19,7,4,50,4379,1233,139,469,1383,114,154,0.98,Tampa Bay Rays,Tropicana Field,1559681,94,93,TBR,TBA,TBA
2012,AL,TOR,TOR,E,4,162,81,73,89,N,N,N,N,716,5487,1346,247,22,198,473,1251,123,41,55,45,784,745,4.64,5,4,29,4331,1439,204,574,1142,101,168,0.98,Toronto Blue Jays,Rogers Centre,2099663,103,104,TOR,TOR,TOR
2012,AL,BOS,BOS,E,5,162,81,69,93,N,N,N,N,734,5604,1459,339,16,165,428,1197,97,31,45,55,806,754,4.72,6,2,35,4329,1449,190,529,1176,101,159,0.98,Boston Red Sox,Fenway Park II,3043003,106,106,BOS,BOS,BOS
2012,AL,OAK,OAK,W,1,162,81,94,68,Y,N,N,N,713,5527,1315,267,32,195,550,1387,122,32,45,34,614,569,3.5,1,0,47,4410,1360,147,462,1136,111,136,0.98,Oakland Athletics,O.co Coliseum,1679013,97,97,OAK,OAK,OAK
2012,AL,TEX,TEX,W,2,162,81,93,69,N,Y,N,N,808,5590,1526,303,32,200,478,1103,91,44,57,53,707,639,4.02,7,2,43,4326,1378,175,446,1286,85,136,0.99,Texas Rangers,Rangers Ballpark in Arlington,3460280,112,111,TEX,TEX,TEX
2012,AL,LAA,ANA,W,3,162,81,89,73,N,N,N,N,767,5536,1518,273,22,187,449,1113,134,33,47,41,699,640,4.02,6,5,38,4300,1339,186,483,1157,98,138,0.98,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3061770,92,92,LAA,ANA,ANA
2012,AL,SEA,SEA,W,4,162,81,75,87,N,N,N,N,619,5494,1285,241,27,149,466,1259,104,35,30,35,651,608,3.76,8,6,43,4370,1359,166,449,1166,72,153,0.99,Seattle Mariners,Safeco Field,1721920,90,91,SEA,SEA,SEA
2012,NL,CIN,CIN,C,1,162,81,97,65,Y,N,N,N,669,5477,1377,296,30,172,481,1266,87,27,47,37,588,540,3.34,9,2,56,4359,1356,152,427,1248,89,113,0.99,Cincinnati Reds,Great American Ball Park,2347251,107,107,CIN,CIN,CIN
2012,NL,SLN,STL,C,2,162,81,88,74,N,Y,N,N,765,5622,1526,290,37,159,533,1192,91,37,53,49,648,603,3.71,4,2,42,4388,1420,134,436,1218,107,149,0.98,St. Louis Cardinals,Busch Stadium III,3262109,98,97,STL,SLN,SLN
2012,NL,MIL,MIL,C,3,162,81,83,79,N,N,N,N,776,5557,1442,300,39,202,466,1240,158,39,90,35,733,682,4.22,0,0,44,4361,1458,169,525,1402,99,132,0.98,Milwaukee Brewers,Miller Park,2831385,104,104,MIL,ML4,MIL
2012,NL,PIT,PIT,C,4,162,81,79,83,N,N,N,N,651,5412,1313,241,37,170,444,1354,73,52,51,45,674,615,3.91,2,1,45,4300,1357,153,490,1192,112,126,0.98,Pittsburgh Pirates,PNC Park,2091918,93,94,PIT,PIT,PIT
2012,NL,CHN,CHC,C,5,162,81,61,101,N,N,N,N,613,5411,1297,265,36,137,447,1235,94,45,43,24,759,708,4.51,1,0,28,4241,1399,175,573,1128,105,148,0.98,Chicago Cubs,Wrigley Field,2882756,98,99,CHC,CHN,CHN
2012,NL,HOU,HOU,C,6,162,81,55,107,N,N,N,N,583,5407,1276,238,28,146,463,1365,105,46,58,30,794,721,4.57,3,2,31,4270,1493,173,540,1170,118,131,0.98,Houston Astros,Minute Maid Park,1607733,99,101,HOU,HOU,HOU
2012,NL,WAS,WSN,E,1,162,81,98,64,Y,N,N,N,731,5615,1468,301,25,194,479,1325,105,35,41,36,594,543,3.34,3,1,51,4405,1296,129,497,1325,94,134,0.99,Washington Nationals,Nationals Park,2370794,99,101,WSN,MON,WAS
2012,NL,ATL,ATL,E,2,162,81,94,68,N,Y,N,N,700,5425,1341,263,30,149,567,1289,101,32,34,46,600,549,3.42,5,4,47,4336,1310,145,464,1232,86,146,0.99,Atlanta Braves,Turner Field,2420171,102,101,ATL,ATL,ATL
2012,NL,PHI,PHI,E,3,162,81,81,81,N,N,N,N,684,5544,1414,271,28,158,454,1094,116,23,63,39,680,618,3.86,5,4,42,4354,1387,178,409,1385,101,118,0.98,Philadelphia Phillies,Citizens Bank Park,3565718,102,101,PHI,PHI,PHI
2012,NL,NYN,NYM,E,4,162,81,74,88,N,N,N,N,650,5450,1357,286,21,139,503,1250,79,38,42,30,709,651,4.09,7,5,36,4302,1368,161,488,1240,101,135,0.98,New York Mets,Citi Field,2242803,96,97,NYM,NYN,NYN
2012,NL,MIA,FLA,E,5,162,81,69,93,N,N,N,N,609,5437,1327,261,39,137,484,1228,149,41,35,40,724,655,4.1,5,3,38,4322,1448,133,495,1113,103,154,0.98,Miami Marlins,Marlins Park,2219444,100,100,MIA,FLO,MIA
2012,NL,SFN,SFG,W,1,162,81,94,68,Y,N,Y,Y,718,5558,1495,287,57,103,483,1097,118,39,29,61,649,593,3.68,5,4,53,4353,1361,142,489,1237,115,134,0.98,San Francisco Giants,AT&T Park,3377371,88,88,SFG,SFN,SFN
2012,NL,LAN,LAD,W,2,162,81,86,76,N,N,N,N,637,5438,1369,269,23,116,481,1156,104,44,52,38,597,538,3.35,2,2,40,4349,1277,122,539,1276,98,137,0.98,Los Angeles Dodgers,Dodger Stadium,3324246,96,96,LAD,LAN,LAN
2012,NL,ARI,ARI,W,3,162,81,81,81,N,N,N,N,734,5462,1416,307,33,165,539,1266,93,51,41,45,688,626,3.94,4,2,39,4301,1432,155,417,1200,90,144,0.99,Arizona Diamondbacks,Chase Field,2177617,105,106,ARI,ARI,ARI
2012,NL,SDN,SDP,W,4,162,81,76,86,N,N,N,N,651,5422,1339,272,43,121,539,1238,155,46,54,34,710,640,4.01,4,3,43,4304,1356,162,539,1205,121,97,0.98,San Diego Padres,Petco Park,2123721,92,92,SDP,SDN,SDN
2012,NL,COL,COL,W,5,162,81,64,98,N,N,N,N,758,5577,1526,306,52,166,450,1213,100,40,36,39,890,824,5.22,0,0,36,4266,1637,198,566,1144,122,138,0.98,Colorado Rockies,Coors Field,2630458,120,121,COL,COL,COL
2013,AL,DET,DET,C,1,162,81,93,69,Y,N,N,N,796,5735,1625,292,23,176,531,1073,35,20,43,47,624,587,3.61,3,1,39,4388,1369,128,462,1428,76,135,0.987,Detroit Tigers,Comerica Park,3083397,106,105,DET,DET,DET
2013,AL,CLE,CLE,C,2,162,81,92,70,N,Y,N,N,745,5465,1391,290,23,171,562,1283,117,36,51,56,662,611,3.82,3,3,38,4324,1359,147,554,1379,98,135,0.983,Cleveland Indians,Progressive Field,1572926,93,94,CLE,CLE,CLE
2013,AL,KCA,KCR,C,3,162,81,86,76,N,N,N,N,648,5549,1443,254,34,112,422,1048,153,32,42,42,601,555,3.45,5,2,52,4345,1366,155,469,1208,85,136,0.986,Kansas City Royals,Kauffman Stadium,1750754,103,103,KCR,KCA,KCA
2013,AL,MIN,MIN,C,4,162,81,66,96,N,N,N,N,614,5564,1346,285,15,151,533,1430,52,33,52,32,788,733,4.55,1,1,40,4351,1591,168,458,985,81,178,0.987,Minnesota Twins,Target Field,2477644,99,101,MIN,MIN,MIN
2013,AL,CHA,CHW,C,5,162,81,63,99,N,N,N,N,598,5563,1385,237,19,148,411,1207,105,42,34,48,723,643,4,5,1,40,4365,1424,182,509,1249,121,153,0.98,Chicago Cubs,Wrigley Field,2642682,104,105,CHC,CHN,CHN
2013,AL,BOS,BOS,E,1,162,81,97,65,Y,N,Y,Y,853,5651,1566,363,29,178,581,1308,123,19,72,50,656,613,3.79,5,2,33,4362,1366,156,524,1294,80,140,0.987,Boston Red Sox,Fenway Park II,2833333,102,102,BOS,BOS,BOS
2013,AL,TBA,TBD,E,2,163,81,92,71,N,Y,N,N,700,5538,1421,296,23,165,589,1171,73,38,36,55,646,608,3.74,9,3,42,4392,1315,153,482,1310,59,147,0.99,Tampa Bay Rays,Tropicana Field,1510300,96,95,TBR,TBA,TBA
2013,AL,BAL,BAL,E,3,162,81,85,77,N,N,N,N,745,5620,1460,298,14,212,416,1125,79,29,36,45,709,678,4.2,2,1,57,4359,1438,202,473,1169,54,165,0.991,Baltimore Orioles,Oriole Park at Camden Yards,2357561,106,105,BAL,BAL,BAL
2013,AL,NYA,NYY,E,4,162,81,85,77,N,N,N,N,650,5449,1321,247,24,144,466,1214,115,31,57,36,671,633,3.94,7,3,49,4342,1452,171,437,1233,69,138,0.988,New York Yankees,Yankee Stadium III,3279589,102,101,NYY,NYA,NYA
2013,AL,TOR,TOR,E,5,162,81,74,88,N,N,N,N,712,5537,1398,273,24,185,510,1123,112,41,38,38,756,685,4.26,4,2,39,4356,1451,195,500,1208,111,144,0.982,Toronto Blue Jays,Rogers Centre,2536562,102,102,TOR,TOR,TOR
2013,AL,OAK,OAK,W,1,162,81,96,66,Y,N,N,N,767,5521,1403,301,25,186,573,1178,74,28,45,49,625,574,3.56,6,4,46,4356,1339,163,428,1183,97,112,0.983,Oakland Athletics,O.co Coliseum,1809302,95,93,OAK,OAK,OAK
2013,AL,TEX,TEX,W,2,163,82,91,72,N,N,N,N,730,5585,1465,262,23,176,462,1067,149,46,61,42,636,589,3.63,4,2,46,4390,1370,157,498,1309,86,146,0.986,Texas Rangers,Rangers Ballpark in Arlington,3178273,104,103,TEX,TEX,TEX
2013,AL,LAA,ANA,W,3,162,81,78,84,N,N,N,N,733,5588,1476,270,39,164,523,1221,82,34,48,64,737,685,4.24,4,2,41,4373,1475,167,533,1200,112,135,0.981,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3019505,94,94,LAA,ANA,ANA
2013,AL,SEA,SEA,W,4,162,81,71,91,N,N,N,N,624,5558,1318,249,17,188,529,1353,49,23,31,28,754,702,4.32,4,2,43,4395,1467,174,478,1297,88,149,0.986,Seattle Mariners,Safeco Field,1761546,92,92,SEA,SEA,SEA
2013,AL,HOU,HOU,W,5,162,81,51,111,N,N,N,N,610,5457,1307,266,16,148,426,1535,110,61,52,38,848,766,4.79,2,1,32,4320,1530,191,616,1084,125,166,0.979,Houston Astros,Minute Maid Park,1651883,99,101,HOU,HOU,HOU
2013,NL,SLN,STL,C,1,162,81,97,65,Y,N,Y,N,783,5557,1494,322,20,125,481,1110,45,22,64,44,596,555,3.43,7,4,44,4379,1366,112,451,1254,75,177,0.988,St. Louis Cardinals,Busch Stadium III,3369769,99,97,STL,SLN,SLN
2013,NL,PIT,PIT,C,2,162,81,94,68,N,Y,N,N,634,5486,1345,273,35,161,469,1330,94,42,88,29,577,533,3.27,3,0,55,4412,1299,101,515,1261,106,154,0.984,Pittsburgh Pirates,PNC Park,2256862,94,94,PIT,PIT,PIT
2013,NL,CIN,CIN,C,3,162,80,90,72,N,Y,N,N,698,5499,1370,274,20,155,585,1245,67,35,76,46,589,554,3.38,5,2,43,4421,1293,170,435,1296,76,130,0.988,Cincinnati Reds,Great American Ball Park,2534369,103,102,CIN,CIN,CIN
2013,NL,MIL,MIL,C,4,162,81,74,88,N,N,N,N,640,5474,1381,238,43,157,407,1183,142,50,71,35,687,615,3.84,4,2,40,4328,1401,175,466,1125,114,153,0.981,Milwaukee Brewers,Miller Park,2531105,105,105,MIL,ML4,MIL
2013,NL,CHN,CHC,C,5,162,81,66,96,N,N,N,N,602,5498,1307,297,18,172,439,1230,63,32,67,30,689,643,4,3,1,39,4344,1332,160,540,1184,100,128,0.983,Chicago White Sox,U.S. Cellular Field,1768413,107,107,CHW,CHA,CHA
2013,NL,ATL,ATL,E,1,162,81,96,66,Y,N,N,N,688,5441,1354,247,21,181,542,1384,64,31,55,35,548,512,3.18,1,0,53,4351,1326,127,409,1232,85,140,0.986,Atlanta Braves,Turner Field,2548679,104,103,ATL,ATL,ATL
2013,NL,WAS,WSN,E,2,162,81,86,76,N,N,N,N,656,5436,1365,259,27,161,464,1192,88,28,40,39,626,576,3.59,6,4,47,4337,1367,142,405,1236,107,145,0.982,Washington Nationals,Nationals Park,2652422,102,101,WSN,MON,WAS
2013,NL,NYN,NYM,E,4,162,81,74,88,N,N,N,N,619,5559,1318,263,32,130,512,1384,114,35,51,32,684,618,3.78,4,2,40,4430,1442,152,458,1209,93,127,0.985,New York Mets,Citi Field,2135657,94,95,NYM,NYN,NYN
2013,NL,PHI,PHI,E,4,162,81,73,89,N,N,N,N,610,5456,1355,255,32,140,417,1205,73,29,53,31,749,689,4.34,6,2,32,4309,1465,152,506,1199,97,141,0.984,Philadelphia Phillies,Citizens Bank Park,3012403,101,102,PHI,PHI,PHI
2013,NL,MIA,FLA,E,5,162,81,62,100,N,N,N,N,513,5449,1257,219,31,95,432,1232,78,29,56,26,646,602,3.71,2,1,36,4380,1376,121,526,1177,88,144,0.986,Miami Marlins,Marlins Park,1586322,102,103,MIA,FLO,MIA
2013,NL,LAN,LAD,W,1,162,81,92,70,Y,N,N,N,649,5491,1447,281,17,138,476,1146,78,28,57,48,582,524,3.25,7,4,46,4351,1321,127,460,1292,109,160,0.982,Los Angeles Dodgers,Dodger Stadium,3743527,95,95,LAD,LAN,LAN
2013,NL,ARI,ARI,W,2,162,81,81,81,N,N,N,N,685,5676,1468,302,31,130,519,1142,62,41,43,43,695,651,3.92,6,2,38,4485,1460,176,485,1218,75,134,0.988,Arizona Diamondbacks,Chase Field,2134795,102,102,ARI,ARI,ARI
2013,NL,SDN,SDP,W,3,162,81,76,86,N,N,N,N,618,5517,1349,246,26,146,467,1309,118,34,52,34,700,643,3.98,3,1,40,4365,1407,156,525,1171,83,140,0.986,San Diego Padres,Petco Park,2166691,91,91,SDP,SDN,SDN
2013,NL,SFN,SFG,W,4,162,82,76,86,N,N,N,N,629,5552,1446,280,35,107,469,1078,67,26,39,42,691,643,4,2,2,41,4342,1380,145,521,1256,107,126,0.982,San Francisco Giants,AT&T Park,3326796,90,89,SFG,SFN,SFN
2013,NL,COL,COL,W,5,162,81,74,88,N,N,N,N,706,5599,1511,283,36,159,427,1204,112,32,26,35,760,708,4.44,1,0,35,4308,1545,136,517,1064,90,162,0.986,Colorado Rockies,Coors Field,2793828,117,118,COL,COL,COL